year,Temp,DO,PH,Conductivity,BOD,NO3-,FC,TC
2014,30.8,6.2,7.2,22757,1.5,0.1,98,542
2014,25.3,6.7,7.1,66,0.6,0,222,626
2014,25.3,7.2,7,59,0.6,0,165,433
2014,25.8,6,7.6,120,1.3,1.1,212,523
2014,27.2,5.2,6.8,55,0.6,0.7,171,313
2014,28.1,4.8,6.8,86,0.7,0.8,208,332
2014,28.3,3.9,6.9,62,0.5,0.7,155,284
2014,28.1,5,6.9,3185,1.8,0.4,290,667
2014,27.7,7,7,36,1.1,0.2,276,541
2014,28,6.3,6.9,64,1.2,0.3,381,815
2014,28.2,6.2,6.9,86,1.3,0.2,372,1007
2014,28,5.7,6.8,2640,1.9,0.5,385,759
2014,28.1,5.7,6.9,53,3.1,0.4,574,1205
2014,28.1,6.6,7.1,2007,1.3,0.2,356,785
2014,28.1,6.6,7,46,1.3,0.3,228,472
2014,27.3,6.5,6.5,43,0.9,0.4,87,188
2014,28.3,6.7,6.3,54,0.9,0.1,136,610
2014,29.1,4.3,7.2,113,1.8,0.4,188,796
2014,28.7,4.6,6.7,12561,1.5,0.6,72,171
2014,28.5,7.7,6.9,61,1.6,0,88,554
2014,26.6,5.8,6.5,61,1,0.4,70,151
2014,31,4.5,6.9,1614,2.1,0.6,131,230
2014,30.5,6.9,7.2,20950,1.3,0.2,113,643
2014,28.8,6.6,7,14487,0.9,0.3,55,103
2014,25.3,6.9,7.5,54,0.6,0,319,1633
2014,25.9,5.5,7.6,569,1.3,0.9,18,141
2014,26.5,5.4,7.8,310,0.8,2.4,7,107
2014,18.9,7.1,7.8,516,0.7,0.5,2,1238
2014,20.5,6.9,8,505,0.9,0.7,2,1563
2014,27.1,7.3,7.3,109,2.4,3.4,18,65
2014,26.3,7.5,7.5,83,2.1,2,22,74
2014,29.1,6.4,7.2,102,1,0,137,1223
2014,28.4,6.5,7.1,92,1,0,155,1342
2014,24.7,7.7,7.9,232,1.3,0.8,30790,40500
2014,24.4,7.5,7.8,519,2.1,0.7,38700,53556
2014,22.7,7.3,7.2,103,0.7,1.7,4871,13810
2014,24.8,7.4,7.9,196,0.7,0.6,5323,15213
2014,24,7.4,7.8,244,1.9,1,20880,12473
2014,22.8,7.5,8,243,1.7,0.9,8780,30319
2014,26.8,7.2,8,296,1.5,0.7,1468,4314
2014,27.4,6.6,7.8,25034,1.5,0.9,1671,4224
2014,25.3,7.5,7.9,194,1,1,2906,8559
2014,27.1,7.4,7.9,170,0.8,0.9,4948,16709
2014,29,NAN,7.3,386,NAN,0.2,NAN,NAN
2014,25,5.9,7.9,21600,NAN,0.1,NAN,NAN
2014,25,6.5,7.3,21600,NAN,0.1,NAN,NAN
2014,25,6.5,7.7,26600,NAN,0.1,NAN,NAN
2014,32,6,7.1,13000,NAN,0.4,NAN,NAN
2014,29.3,6.5,7.4,1063,2,0.6,177,374
2014,22.8,6.8,6.6,63,2.9,0.1,11,36
2014,24.5,6.6,6.4,101,2.5,0.2,13,41
2014,25.5,6.6,6.5,136,2.5,0.2,13,45
2014,29,6.7,6.9,226,2.2,0.2,12,38
2014,23.8,6.7,6.3,72,2.7,0.2,9,32
2014,22.8,6.7,6.4,61,4.6,0.1,10,34
2014,29,6.6,7.2,1300,2.7,0.2,21,60
2014,29,6.7,7,461,2.5,0.1,17,51
2014,23,6.6,6.2,69,2.5,0.1,11,38
2014,29,6.8,6.9,241,2.5,0.1,14,48
2014,25.7,6.5,6.6,159,2.4,0.2,11,41
2014,25.7,6.6,6.7,170,2.5,0.2,10,34
2014,24.3,0.9,7.6,2039,104.5,0.9,272521616,511090873
2014,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,22.7,5.8,7.2,640,6,4.3,1450,4073
2014,19,4.8,7.6,1090,22,3.6,30500,52500
2014,23,5.5,7.3,705,10,5,2020,5433
2014,24,5.1,7.4,1375,23.7,5.9,27333,50333
2014,24.7,5.5,7.4,745,10,6.1,12167,29333
2014,25,5,7.6,975,16.3,6.1,11167,21667
2014,22,4.9,7.7,1385,27.5,7.7,42500,72000
2014,24.3,5,7.3,1067,19.3,6.2,21467,39533
2014,23.3,5.3,7.2,970,13.3,5.9,3167,7133
2014,19.5,4.9,7.7,1418,21,4.2,28000,49500
2014,21.5,4.1,7.5,1015,23,6.1,35000,57500
2014,20,4.8,7.4,854,17,4.7,20500,38000
2014,NAN,NAN,8.2,NAN,19.8,0,NAN,NAN
2014,NAN,NAN,7.9,NAN,18.2,0,NAN,NAN
2014,32.6,4,6.8,370,3,0.8,4,9
2014,23.6,7.8,7.8,376,1.3,0.4,9,17
2014,23.9,7.7,7.7,354,1.3,0.3,12,22
2014,24.5,7.6,7.9,344,1.6,0.4,12,22
2014,NAN,NAN,7.2,NAN,88,0,NAN,NAN
2014,18.1,4.4,7.1,694,41,1.2,92,224
2014,25.1,5.9,8,401,0.9,0.7,4,15
2014,22.3,6,7.2,106,0.8,0.4,4,15
2014,23.7,5.6,7.9,326,1.1,0.8,4,4
2014,23.9,6.2,8.1,592,1,0.7,4,6
2014,25.5,7.2,7.5,119,2.3,3.8,33,74
2014,25.1,7.2,7.5,120,2.3,4.1,31,67
2014,25.2,7.5,7.3,82,1.8,2.8,30,70
2014,23.2,7.5,7.5,111,2.4,3,293,506
2014,20.1,5.3,3.3,831,7.7,3.2,18,36
2014,18.3,7.2,7.2,56,1.7,2.6,21,42
2014,19.3,7.5,7.2,66,1.6,2.5,22,44
2014,24,7.8,7,74,2.3,4.3,28,108
2014,20.5,6.7,2.7,1350,3.3,1.1,7,16
2014,21.2,7.3,6.6,274,2.5,2.4,176,386
2014,26.3,7.4,7.3,67,1.8,2.5,25,55
2014,25.5,7.2,7.4,82,2,2.8,26,61
2014,20,7.3,7.1,55,1.9,2.5,24,53
2014,20.3,7.3,7.1,57,2,2.4,24,50
2014,19.4,6.6,7.1,114,2.6,2.8,2142,3108
2014,21,7.3,5.6,56,1.8,2.1,16,34
2014,19.2,5.1,7,105,3.6,4.7,351,780
2014,18.3,7.3,7.1,51,1.6,2.4,19,40
2014,19.6,7.7,7.2,50,1.6,2,19,36
2014,23.7,7.6,7.3,115,2.1,3.7,301,528
2014,18.2,6.2,7,81,2.4,5.1,36,79
2014,18.8,7.2,7.1,66,1.9,3.4,28,63
2014,18.9,7.4,7.1,57,1.5,2.9,13,40
2014,25.1,7.5,7.4,144,1.7,3.5,26,59
2014,18.8,7.1,7.1,63,1.9,5.6,22,48
2014,20.2,7.3,7.2,65,1.9,3.3,24,48
2014,20,7.3,7.3,65,2,3,25,54
2014,18.5,1.5,6.9,345,33.9,16.9,23232,34251
2014,18.8,3.9,7.1,233,17,10.5,13174,22223
2014,18.3,1,7.2,376,57.2,20.3,48665,83554
2014,18.5,0.9,7.2,506,61.1,19.6,64250,106333
2014,18.2,7.2,7,66,1.9,3.7,28,60
2014,22.1,7.7,7.2,62,1.6,3,27,59
2014,17.6,7.3,6.9,61,2.2,2,25,52
2014,18.7,1.2,7.1,380,45.7,15.6,51583,94083
2014,18.7,3.2,7.1,258,23.5,10.3,31833,54083
2014,23.1,7.2,7.2,124,6.9,4.5,348,552
2014,22.6,7.2,7.1,65,2.1,2.4,56,120
2014,20,7.5,7.3,64,1.9,3.3,21,42
2014,19.9,7.6,7.3,65,1.9,3.8,21,43
2014,24.5,7.1,7.3,269,1.4,0.1,NAN,115
2014,24.4,7.2,7.3,275,1.5,0.1,4,68
2014,23.6,6.9,7.1,186,1.6,0.1,NAN,29
2014,23.5,6.8,7.1,201,1.4,0.2,NAN,86
2014,27.3,6.2,7.8,165,2.1,0,282,340
2014,29.1,6.4,7.8,158,4.1,0.5,458,500
2014,26.6,6.6,7.9,210,4.2,1.9,510,572
2013,NAN,NAN,0,208,NAN,NAN,NAN,NAN
2013,27.1,7.3,7.9,693,0.5,1,161,173
2013,27.3,5,7.6,1676,1.8,8,329,174
2013,NAN,NAN,0,506,NAN,6,26,227
2013,24.5,6,7.7,1863,8.6,1,47,1183
2013,NAN,NAN,NAN,24300,NAN,7,22474,24
2013,27.5,5.3,7.8,817,2.8,1,9,23
2013,28.3,4.3,7.8,2307,103.8,1.23,NAN,1817
2013,28.4,4.5,8.3,1287,1.5,11,116,5
2013,NAN,NAN,NAN,NAN,NAN,0,NAN,2
2013,27.6,6.8,8.2,1862,2.5,0.87,7,64
2013,NAN,5,8,NAN,0.7,0,NAN,NAN
2013,NAN,3,7.7,NAN,0.4,0,NAN,NAN
2013,27,6.7,8.1,2520,7.2,1,6,41
2013,29,8.2,8.4,606,2.9,0,NAN,NAN
2013,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2013,30,5.6,7.5,41,2,0.08,7022,13410
2013,30.4,5.5,6.7,209,0.8,0.17,1893,2915
2013,30.8,5.5,7.1,123,1.5,0.09,3293,6264
2013,30.3,5.3,7.3,182,1.5,0.08,1976,3080
2013,30.1,6,7.6,100,1.2,0.17,5129,6086
2013,29.9,5.7,6.9,111,1,0.14,939,3061
2013,29.1,6.4,7.1,140,1.1,0.1,4464,7908
2013,29.9,6.2,7.8,44,2,0.06,9429,9320
2013,29.8,6.1,7.6,43,1.8,0.06,6668,9554
2013,27.9,7,6.9,64,1.1,0.09,1641,2841
2013,28.2,6.6,6.5,62,1,0.14,4073,7190
2013,29.6,7,6.8,304,2,0.49,12140,23867
2013,28.8,7,7,55,1.2,0.66,1298,2813
2013,29.5,6.3,7.6,213,1.5,0.06,3803,7069
2013,29.8,6.7,6.8,83,1.2,0.17,2140,3559
2013,29.7,7.1,6.6,76,1,0.12,2367,3527
2013,28.7,6.7,6.6,107,1.3,0.22,2461,3757
2013,27.9,7.2,6.7,89,0.9,0.06,832,1996
2013,29.3,4.2,6.7,192,2,0.16,4448,9286
2013,28.6,6.3,6.6,79,1.6,0.19,2830,6054
2013,29.8,5.6,7.7,142,1.7,0.14,1831,3644
2013,28.6,2.8,6.4,424,3.2,0.35,12658,21036
2013,30.6,5.2,7.1,306,2.6,0.34,1411,1525
2013,30.3,5.6,7.7,40,1.5,0.07,4153,7130
2013,30.4,5.5,7.7,40,1.5,0.08,7086,12282
2013,29.6,6.9,6.7,63,0.9,0.21,691,1132
2013,29.6,6.3,7.6,227,1.7,0.08,3622,3612
2013,29.5,7.1,6.6,68,1.1,0.13,4124,8167
2013,26.7,6.9,7.7,121,3.3,1,77,163
2013,29.3,7.2,8.2,112,3.3,1,39,94
2013,28,6.9,7.7,103,3.7,0.57,48,103
2013,28.2,6.9,7.6,104,3.5,0.75,37,79
2013,26.5,6.4,7.4,1003,4.3,2.89,524,753
2013,20.7,6.3,8.3,408,2.7,1.58,64,157
2013,27.2,6.7,7.8,105,3.6,1,43,89
2013,27.5,6.3,7.6,209,4.4,1.86,48,98
2013,26,5.9,7.6,13768,5,1.79,166,300
2013,26.5,7.3,7.7,86,3.2,1,50,93
2013,27,3.6,7.4,6487,30.5,1.5,534,745
2013,27.3,6.3,8.3,999,3.3,1.78,4,112
2013,28.7,7.2,7.7,125,3.3,1,39,89
2013,28.4,7.1,7.5,127,3.4,4.4,17,63
2013,28.7,7.1,7.4,5300,38,1,388,667
2013,28.7,7.2,7.6,127,3.2,1,22,51
2013,28.7,7,7.6,126,3.3,1,20,63
2013,28.7,7.2,7.6,126,3.4,1.89,29,64
2013,28.7,7.1,7.8,112,3.2,0.63,43,88
2013,29.3,6.8,7.7,9590,3.6,4.57,3,124
2013,28.3,6.8,7.4,174,3.7,2.26,4,124
2013,28.7,6.8,7.6,2572,3.3,4.22,4,118
2013,29.2,6.7,7.8,6030,4.4,4.78,4,138
2013,28.7,6.8,7.7,7207,3.9,4.25,3,120
2013,27.2,6.8,8.1,167,3.8,1,32,85
2013,27.2,6.8,8,173,3.5,1,53,98
2013,27.2,7,8,168,3.6,1,44,83
2013,28,6.9,7.9,131,3.5,0.75,41,96
2013,26.2,7,7.6,125,3.5,0.6,33,63
2013,26.2,7.2,7.5,132,3.3,0.9,38,88
2013,28.2,7.2,7.7,119,3.3,1,35,68
2013,24.5,6.9,7.5,159,2.8,1,3,82
2013,24.5,6.7,7.7,141,3.3,3,4,90
2013,24.5,7.3,7.7,132,2.9,2,3,88
2013,24,6.4,7.3,76,1.7,0.62,199,788
2013,24.9,6,7.1,85,1.7,0.53,262,538
2013,24.3,6.3,7.1,69,1.3,0.57,248,593
2013,24.8,6.5,7.3,76,1.6,0.55,226,545
2013,26.4,6.7,6.6,60,1.2,0.34,228,435
2013,27,7,6.6,3544,1.5,0.37,208,435
2013,26.6,6.7,7.3,51,0.8,0.35,547,1567
2013,28.6,6.9,7.7,107,0.7,0.46,255,443
2013,28.8,6.7,7.9,173,0.9,0.56,191,426
2013,28,5.6,6.9,126,1.2,0.67,266,990
2013,27.4,7.3,7.4,70,0.8,0.31,2984,4208
2013,27.5,6.9,7.4,12754,0.8,0.29,1807,2557
2013,26.8,7.1,7.4,80,0.6,0.5,1921,2831
2013,30,7.2,6.9,62,1.3,0.11,33,150
2013,28.8,3.4,6.7,2965,2.3,1.11,271,1236
2013,27.4,6.1,7.2,15871,0.9,0.25,1667,2975
2013,24.8,6.4,7.2,120,1.9,0.77,258,618
2013,23.6,6.2,7.2,7448,2,1.01,184,483
2013,29.8,6.6,6.9,77,1.6,0.29,264,756
2013,30.2,6.8,7,72,1.7,0.2,249,785
2013,28.2,2.9,6.7,305,2.2,1.28,403,1623
2013,27.7,3,6.6,86,2,0.39,357,1319
2013,23.9,6.7,7.1,79,1.6,0.34,313,738
2013,27.4,3.6,7.3,32790,2.6,0.59,64259,112867
2013,27.8,6.1,7.8,2905,1.3,0.54,422,997
2013,26.4,6.9,7.4,112,0.5,0.35,50,67
2013,29.6,7,6.9,51,1.1,0.18,44,317
2013,27,3.1,7.2,1416,13.2,4.41,2992,19917
2013,26.3,7,7.1,30,0.5,0.32,211,496
2013,30,6.1,7,59,1.8,0.58,89,282
2013,28,6,6.4,61,2.1,0.28,87,300
2013,30.1,6.3,7,105,2.8,0.37,142,543
2013,27.9,6.9,8.1,502,0.9,0.72,382,615
2013,27,5.9,6.7,14662,1.5,0.52,144,377
2013,26,7.8,6.8,49,1.4,0.3,122,319
2013,27.7,7.1,7.4,380,1,0.14,1527,66382
2013,27.1,7.3,7.2,67,0.9,0.38,6490,3471
2013,26.5,6.2,7.2,51,0.8,0.23,331,942
2013,28.5,7.2,6.8,69,1.2,0.45,706,941
2013,28.7,6.9,6.7,75,2.5,0.4,526,701
2013,25.7,6.3,7.4,113,0.6,0.88,98,128
2013,29.3,7.6,6.8,79,1.6,0.31,48,109
2013,27,7,7.2,57,0.6,0.46,2117,3558
2013,30.9,5.9,7,22576,1.5,0.35,42,253
2013,27.1,6.8,7.2,105,0.6,0.39,1200,2392
2013,30.3,6.3,6.7,2315,1.3,0.17,55,278
2013,30.4,6.4,6.9,18569,1,0.27,40,277
2013,26.2,6.6,7.3,45,0.6,0.39,228,940
2013,26.2,6.9,7.2,42,0.5,0.18,151,774
2013,25.1,6,7.3,92,1.7,0.56,256,597
2013,27.4,6.1,7.2,59,0.7,1.04,181,311
2013,28.1,4.5,6.9,1190,0.7,1.17,218,388
2013,28.3,4.2,7,69,0.6,1.04,240,420
2013,28.2,6,7,5569,2.2,0.68,473,1894
2013,27.2,7.3,7,34,1,0.27,234,927
2013,27.4,6.3,7,44,1.6,0.32,487,1876
2013,28.2,6.4,7.2,49,1.4,0.23,362,1357
2013,27.9,5.9,7,3272,2.2,0.62,330,1284
2013,27.3,4.6,7,65,1.7,0.28,631,1937
2013,28.2,6.5,6.9,4650,2,1,340,1573
2013,28.2,6.5,7,42,1.4,1,249,1221
2013,26.7,6.4,6.4,45,1.2,1,142,376
2013,28,6,6.1,56,1.2,0,136,438
2013,29.7,5.3,6.8,99,2.8,0.79,106,523
2013,28.2,3.6,6.5,22131,1.8,0.95,105,261
2013,28.9,6.9,6.7,66,1.8,0,93,205
2013,26.4,6,6.6,67,1.5,3.69,168,398
2013,30,4.9,6.8,9107,1.6,1,208,614
2013,30.8,6.3,7,18931,1.4,1,34,201
2013,27.8,6.6,6.8,15525,1.1,0.06,149,347
2013,26.7,7.1,7.5,46,0.8,1,239,1097
2013,27,6,7.3,432,1.2,3,3,78
2013,26.8,6.1,7.7,328,1.2,1,3,211
2013,19,5.8,7.8,707,0.6,0.85,2,1100
2013,21.4,6.1,8,674,0.9,1,2,1260
2013,27.1,7.3,7.3,164,2.3,1,115,336
2013,26.3,7.6,7.4,122,2.4,1,223,834
2013,28.3,6.5,7.1,95,1,0,156,212
2013,27.9,6.5,7.1,56,1,0,30,79
2013,23.4,7.5,7.8,237,1.4,0.89,8281,18918
2013,23.5,7.6,7.6,3688,2.3,2.66,19264,32918
2013,22.4,7.3,7.5,82,1.2,1.58,15816,17512
2013,26.8,7.5,8,202,1.4,1.89,11771,23191
2013,26.5,7.3,7.9,232,2.9,2.23,9026,30836
2013,22,7.4,7.9,246,2.3,1.9,1850,3900
2013,27.6,6.9,8.1,3960,2,2.26,19058,22523
2013,26.8,7,8,28222,1.8,2.54,16613,10469
2013,25.6,7.2,7.8,201,1.3,1.59,29937,31034
2013,26.5,7.3,8,221,1.2,2.26,16103,5289
2013,24,NAN,7.8,NAN,1,1,NAN,NAN
2013,28,8,7.7,401,NAN,1,NAN,NAN
2013,28,8,8.2,1886,4,1,NAN,NAN
2013,28,7,8.2,742,5,1,NAN,NAN
2013,27,7,6.4,149,4,1,NAN,NAN
2013,27.8,6.7,7.5,1088,1.7,0,194,474
2013,23.4,7.2,6.5,73,3.1,0,19,59
2013,25.4,6.7,6.3,98,3.3,1.5,21,74
2013,26.3,6.3,6.5,143,4,4,38,124
2013,29,6.6,6.9,260,5.4,1,17,53
2013,24.6,7.1,6.3,71,3.5,1,24,82
2013,23.5,6.9,6.3,65,3.5,0,17,52
2013,29,7.3,7.1,607,3.6,0.88,33,104
2013,27,6.1,7,446,5.2,0.56,26,77
2013,24,6.9,6.4,94,3.2,1.59,20,65
2013,28.7,6.8,6.8,451,9.4,0.55,22,58
2013,26.3,6,6.6,169,3.9,2,22,84
2013,25.7,6.5,6.7,187,3.3,3,32,113
2013,26.8,3.4,7.8,2577,164.9,1.5,148825783,160405392
2013,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2013,23.3,5.5,7.2,636,9.7,4,1328,4975
2013,22.8,4.7,7.3,1088,23.8,4,28250,56000
2013,23.3,5.3,7.2,689,11.3,4,1350,6025
2013,21.8,4.9,7.3,1267,23.5,3,24750,54250
2013,24.3,5.3,7.4,852,13,4,13775,26750
2013,23.5,4.9,7.5,977,16.5,5,12375,30500
2013,24,4.4,7.4,1256,24.8,6,25250,55250
2013,23.5,4.8,7.2,1021,20.3,4,22875,43700
2013,23.3,5.1,7.3,971,14.8,5,2125,8425
2013,22.5,4.6,7.4,1284,24.3,4,21500,50000
2013,26,4,7.4,1096,26,3,31750,57500
2013,25.8,4.4,7.3,1002,21.5,4,21000,43750
2013,NAN,NAN,6.9,910,13,0,NAN,NAN
2013,NAN,NAN,6.5,930,15,0,NAN,NAN
2013,NAN,5,7.3,NAN,33.9,0,NAN,NAN
2013,NAN,NAN,6.7,960,18,0,NAN,NAN
2013,30.7,4.8,7.6,295,0.8,0,4,9
2013,20.3,7.1,7.5,293,1.3,0,9,19
2013,20.7,7.1,7.5,316,1.4,0,13,22
2013,20.8,6.6,7.5,274,1.6,0,14,24
2013,20.6,4.9,7.4,407,16.3,0,51,120
2013,28,4.9,8.3,603,1,0,4,5
2013,23.4,5.5,7.4,138,0.8,0,4,6
2013,25.3,5.5,8.1,625,1.1,0,4,6
2013,31.1,5,7.3,305,1.7,0,4,12
2013,26.3,5.6,8.1,552,1.1,0,4,6
2013,22,7.3,7.3,402,2.1,0,4,32
2013,24.4,7.2,7.3,99,2.2,1,26,57
2013,23.7,7.2,7.4,102,2.2,1,25,56
2013,24.6,7.6,7.2,72,1.8,2.56,24,57
2013,23.1,7.1,7.5,131,2.2,3.2,239,413
2013,21.7,5.2,2.9,682,7.8,1.5,16,30
2013,18.2,7.3,7.1,47,1.3,2,15,48
2013,18.8,7.6,7.2,52,1.2,2,16,36
2013,23.8,8,6.9,64,1.8,3.38,23,49
2013,17.8,7.9,7.3,46,1.4,1,12,29
2013,18.7,7.4,7.2,53,1.9,3,14,32
2013,18.8,7.7,7.2,55,1.6,3,15,63
2013,21.3,6.8,2.7,1074,3.2,2.33,4,11
2013,22.6,7.1,6.5,237,3.8,4.56,674,1072
2013,25.2,7.8,7.2,50,1.6,1.77,20,41
2013,24.8,7.3,7.3,71,2,2.66,21,47
2013,19.9,7.3,7,91,1.8,3.3,20,45
2013,20.7,7.4,7.1,49,1.7,2.44,19,42
2013,20.6,6.5,7.1,99,2.7,3.56,1967,2722
2013,21.5,7.5,5.7,50,1.5,2.21,10,23
2013,17.7,5.8,6.9,68,3.1,4.9,197,463
2013,17.9,6.9,7.2,44,1.4,2.66,14,33
2013,23.9,7.8,7.3,93,1.9,2.99,264,444
2013,18,6.6,7,66,2.3,4,29,63
2013,18.4,7.6,7.1,53,1.7,3,23,53
2013,18.8,7.8,7,47,1.4,2,8,35
2013,24.8,7.7,7.4,128,1.6,3.32,25,56
2013,19.3,7.1,7,54,1.8,2.58,20,43
